posicao,quantidade de elementos
0,7
1,3
2,5
3,10
4,11
5,12
6,11
7,20
8,17
9,25
10,28
11,26
12,20
13,37
14,36
15,31
16,38
17,33
18,35
19,32
20,23
21,32
22,28
23,12
24,14
25,9
26,13
27,8
28,7
29,8
30,6
31,4
32,1
33,0
34,1
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,1
48,0
49,0
50,1
51,7
52,2
53,3
54,8
55,8
56,12
57,7
58,15
59,17
60,10
61,11
62,16
63,15
64,18
65,22
66,20
67,22
68,15
69,23
70,22
71,12
72,19
73,21
74,12
75,8
76,7
77,8
78,6
79,6
80,5
81,4
82,3
83,0
84,2
85,0
86,1
87,1
88,0
89,1
90,0
91,0
92,0
93,0
94,1
95,0
96,0
97,1
98,1
99,3
