posicao,quantidade de elementos
0,11
1,19
2,13
3,11
4,12
5,6
6,11
7,6
8,17
9,15
10,13
11,13
12,7
13,14
14,13
15,13
16,14
17,10
18,20
19,13
20,8
21,14
22,16
23,10
24,13
25,13
26,15
27,11
28,11
29,10
30,13
31,7
32,6
33,8
34,2
35,7
36,8
37,9
38,11
39,9
40,10
41,13
42,15
43,11
44,12
45,11
46,13
47,5
48,8
49,9
50,8
51,14
52,7
53,5
54,14
55,14
56,7
57,13
58,6
59,4
60,8
61,8
62,11
63,10
64,5
65,5
66,10
67,4
68,6
69,6
70,8
71,5
72,6
73,6
74,10
75,12
76,5
77,8
78,6
79,5
80,9
81,5
82,8
83,8
84,3
85,5
86,7
87,13
88,9
89,12
90,14
91,15
92,11
93,14
94,9
95,10
96,13
97,12
98,9
99,19
