    67,2    58,4    91,6    69,2    69,4    55,5    56,7     9,8    83,3
    33,4    14,2     7,1    87,5    51,1    55,1    75,1    38,5    26,8
    49,8    31,2    94,0     2,3    16,4    21,0    21,1    95,9    87,4
    88,4    25,8    27,8    53,3    84,7    30,6    85,2    42,8    25,0
    22,4    48,5    88,3     9,2    63,6     0,6    50,3    34,4    13,3
     8,8    10,0    11,4    97,2    80,1    45,5    56,4    37,1     9,9
    11,4    72,2    42,4    56,4    92,1     4,7    36,3    65,9    82,9
    22,9     9,7     8,3    44,5    36,3    75,2    75,5    71,3    30,9
    70,3    39,9    81,2    26,8    25,4    37,8    84,6    94,4    11,5
    48,6    49,0    53,6    92,1    59,4    81,3    66,1    51,2    44,0
